RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
1713560586632-97;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;MUY COMPLICADO EL TEMA DEL LEVANTAMIENTO DE PRENDA,SOY CLIENTE DESDE EL 2012 PERO AHORA SE PERDIO TODO LO BUENO QUE TIENE DAVIVIENDA,NOS TOCO 4 PAGOS NOS DIERON UN SALDO,LUEGO OTRO Y OTRO.;CLARIDAD INFORMACION
1-40529385583;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM;MUY DEMORADA,TUVE QUE ROGAR MUCHO PARA PODER HACER ESO.;DEMORA TRAMITE
1-41274776080;DETRACTOR;Perfeccionamiento De Leasing;INCLUSION;NO SON CLAROS EN LOS TIEMPOS NO DAN BIEN LA INFORMACION;CLARIDAD INFORMACION
1-42792582539;DETRACTOR;Copia De Documentos Cartera;PREMIUM;QUE SEAN CLAROS CUANDO ENVIAN LA RESPUESTA POR CORREO;CLARIDAD INFORMACION
POL-12647774;DETRACTOR;Poderes Leasing Call Center;CLASICO;UN TELEFONO ROTO ENTRE EL BANCO O OFICINA Y EL TELEFONO ROJO,ESO LO TIENEN QUE ARREGLAR,TOMAR CARTAS EN EL ASUNTO,EN EL TELEFONO DAN UNA INFORMACION Y EN LA OFICINA OTRA,CADA MOVIMIENTO QUE UNO HAGA ES DINERO EN TRANSPORTE Y BANCO. EN LA AMABILIDAD Y CORDIALIDAD SON LOS MEJORES PERO EN SOLUCIONAR PROBLEMAS NADA,NADA,ME PARECE QUE LA GENTE NO ESTA BIEN CAPACITADA CON RESPECTO AL LEASING.;OTRO
1-41296836553;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;EL PROCESO SE HA LLEVADO CON 100 CUADRAS,CON EL BANCO NO HA DADO NINGUN TIPO DE INFORMACION.;INCONFORMIDAD SERVICIO
1715103636356-25;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;HA SIDO UN PROCESO MUY LARGO CON POCA INFORMACION Y ESTA SEMANA ME DIJERON QUE ME TENIA QUE HACER AL BANCO PARA PAGAR 14 MIL PESOS Y PUES HASTA EL MOMENTO NO EM HAN DADO LA PRENDA DE VEHICULO Y ESO ESTA MUY DEMORADO LA VERDAD Y PUE SYO NO SE DE ESO PERO EL PROCESO SI ESTA MUY DEMORADO;DEMORA TRAMITE
1714499718222-81;DETRACTOR;Poderes Leasing;PREMIUM;LE NEGARON UN PODER DE REPRESENTACION POR RESTRICCIONES QUE SOLO APLICA EL BANCO;INCONFORMIDAD SERVICIO
1703689313910-24;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;TODO MUY BIEN;SIN COMENTARIO
1706902028118-79;DETRACTOR;Certificaciones Especiales;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO
CES-51869391;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.FUI A DOS BANCOS Y EN EL UNO ME DECIAN UNA COSA Y EN EL OTRO OTRA;CLARIDAD INFORMACION
1-42421971593;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.SIN COMENTARIOS;SIN COMENTARIO
1714765110021-34;DETRACTOR;Poderes Leasing;PREMIUM;QUE A VECES UNO VA AL BANCO A SOLICITAR POR EJEMPLO EL PODER PARA LO DEL PAGO DE IMPUESTO Y NO LO SABEN ATENDER A UNO;CLARIDAD INFORMACION
1-41421479055;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;ME PASARON EL APARTAMENTO A MI NOMBRE PERO HIPOTECADO Y NO EH PODIDO SOLUCIONAR Y 100 CUADRAS YA NO ME ATIENDE, EH LLAMADO 10 VECES AL BANCO Y NO ME DAN RESPUESTA.;INCONFORMIDAD SERVICIO
1-41978723740;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;SIN NINGUN COMENTARIO;SIN COMENTARIO
1708457100577-55;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;.ES DEMASIADO TIEMPO;DEMORA TRAMITE
1-42611643532;DETRACTOR;Copia De Documentos Cartera;CLASICO;NO ME HAN ENTREGADO LA RESPUESTA, EL ASESOR ME DICE QUE NO DEPENDE DE EL Y QUE EN 48 HORAS DABAN LA RESPUESTA Y ESO FUE EL MES PASADO, DEBERIAN DE ESTAR INFORMANDOLE A UNO COMO VA EL PROCESO;FALTA DE RESPUESTA
1708985765237-68;DETRACTOR;Levantamiento De Hipoteca;CLASICO;MEJOR CAPACITACION EN LOS ASESORES, DIVERSA INFORMACION POR PARTE DE LOS ASESORES.;CLARIDAD INFORMACION
1709232871057-62;DETRACTOR;Levantamiento De Hipoteca;CLASICO;LAS PERSONAS DE 100 CUADRAS, NO GESTIONARON LA INFORMACION A TIEMPO Y ME SACARON MUCHAS EXCUSAS.;DEMORA TRAMITE
1715029955206-93;DETRACTOR;Poderes Leasing;PREMIUM;HE TENIDO UN DISGUSTO DESDE EL COMIENZO DIJE QUE YO PODIA PAGAR PREDIAL ANUAL Y NO HA SIDO POSIBLE. LO PONEN A UNO HACER VUELTAS, Y NO RESUELVEN NADA.;CLARIDAD INFORMACION
1-42898788377;DETRACTOR;Poderes Leasing;PREMIUM;EL PROCESO FUE CONFUSO.;CLARIDAD INFORMACION
1-40827003226;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;LO QUE INDICAN AL INICIO ES DIFERENTE DURANTE EL PROCESO;CLARIDAD INFORMACION
POL-6481773;DETRACTOR;Poderes Leasing Call Center;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO
1-42519146803;DETRACTOR;Copia De Documentos Cartera;CLASICO;.NOSOTROS SO LISTAMOS UN CREDITO DE DAVIVIENDA EN LOCUAL ACONDICIONARON EL CEDRITO PARA DARNOS EL VALOR A PAGAR MENSUALMENTE Y NOS DIERON LA INFORMACION Y QUE NOS IBAN A MANDAR LA INFORMACION AL CORREO Y YA SALIERON QUE ES OTRA TARIFA LA SENORITA LO QUE ME DIJO ERA QUE IBA A MANDAR UN CODIGO Y ESE CORREO NUNCA LLEGO Y ELLA ME DIJO QUE ERA MAS FACIL UN HISTORICO Y PUES ME LO ENTREGARON RAPIDO PERO NO ERA LA INFORMACION QUE ESTABA NECESITANDO Y AHORA MISMO ME TOCA PAGAR UNA CUOTA QUE NO SABEMOS CUAL ES .NO ESTAMOS SATISFECHOS;OTRO
1701718523333-66;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;MEJORAR LOS TIEMPOS DE RESPUESTA DE LA SOLICITUD;INCONFORMIDAD SERVICIO
01-8639132-4150;DETRACTOR;Poderes Leasing;PREMIUM;A MI ME ENGANARON ME SIENTO ENGANADO POR EL BANCO DAVIVIENDA PORQUE ME DIJERON QUE ME HIBAN A DAR UN SUBSIDIO Y PUES NO FUI BENEFICIADO CON NADA SIMPLEMENTE ME ENGANARON Y NO ME DIERON NADA Y SALI FUI PERJUDICADO YO Y PUES ME ESTABAN COBRANDO 5 MILLONES POR MIL Y PUES REALMENTE ME SENTI MUY DEFRAUDADO DEL BANCO ESTOY MIRANDO ES SI ME BAJAN LAS TASAS OP SI NO ME CAMBIARIA A OTRA ENTIDAD PORQUE DE VERDAD DAVIVIENDA ME DEFRAUDO;OTRO
POL-1037577980;DETRACTOR;Poderes Leasing Call Center;PREMIUM;QUE UNO PUEDA PONER LAS PQRS DESDE LA PAGINA;INCONFORMIDAD SERVICIO
POL-32243430;DETRACTOR;Poderes Leasing Call Center;PREMIUM;.SIN COMENTARIOS;SIN COMENTARIO
1-42734769046;DETRACTOR;Poderes Leasing;CLASICO;NADA ADICIONAL.;SIN COMENTARIO
1-42091061511;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;HE VENIDO MONITOREANDO EL CREDITO, PERO SIGUE SUBIENDO, NO SE HA QUEDADO QUIETO. LA ASESORA NUNCA ME HABIA ESPECIFICACION COMO ERA CON UVR. REQUIERE COMUNICACION CON UN ASESOR, YA QUE POR CORREO NO HA PODIDO.;CLARIDAD INFORMACION
1-42795339551;DETRACTOR;Copia De Documentos Cartera;CLASICO;.QUE CUANDO UNO SOLICITE UN DOCUMENTO QUE NO SEAS TAN LARGO PERO SI UNO SE DEMORA EN PAGAR AHI SI VENGA QUE USTED NO HA PAGADO;ENTREGA DOCUMENTOS
1-41393515826;DETRACTOR;Perfeccionamiento De Leasing;PREMIUM PLUS;.EL PROCESO SE VOLVIO TAN DESPERSONALIZADO POR PARTE DE DAVIVIENDA QUE EL CLIENTE QUE SOY YO LE GENERA MUY MALA EXPERIENCIA .NO HAY CON QUIEN CONSULTAR;INCONFORMIDAD SERVICIO
1-42829098727;DETRACTOR;Poderes Leasing;PREMIUM;MUY REGULAR;INCONFORMIDAD SERVICIO
CES-52291723;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL.SERVIVIO DEL PERSONAL DEL CALL CENTER ES MUY DEFICIENTE;INCONFORMIDAD SERVICIO
1712597435573-82;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SU ENTIDAD ALIADA SUPUESTAMENTE EXPERTA PROYECTOS LEGALES, SE TARDO CASI DOS MESES EN RESPONDER A MI CASO, Y SOLO ME DIJERON QUE HABIAN TENIDO UN ERROR INTERNO, CASI NO PUEDO VENDER MI INMUEBLE POR LA INCOMPETENCIA DE ESA EMPRESA.;INCONFORMIDAD SERVICIO
CES-32608686;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;BUENAS LA VERDAD ES Q PARA SOLICITAR UNA INFORMACION HASTA UNA HORA PARA ATENDERLO A UNO Y DE HAY A OTRO OPERADOR OTRA HORA Y HASTA EL MOMENTO EL PAZ Y SALVO Q NECESITO NADA, TERMINE EL ACUERDO Y PARA Q ME DEN INF. A SIDO UN PROCESO, LA VERDAD ES Q OJALA SE COMUNIQUE CONMIGO Y ME DEN INFORMACION O ME ENVIEN POR MI CORREO EL PAZ Y SALVO... LUCILAMELENDEZGUERRERO@GMAIL.COM, GRACIAS POR SU ATENCION;INCONFORMIDAD SERVICIO
CES-1019055364;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;POR FALTA DE SISTEMATIZACION, FALLOS EN LA INFORMACION Y EL POCO O NADA SEGUIMIENTO A MI PERSONA TUVE QUE PAGAR INTERESES MORATORIOS QUE EN LA VIDA HABIA TENIDO QUE PAGAR Y NO SE TOMAN EL TIEMPO DE AVERIGUAR EN QUE FALLARON. ULTIMA CUOTA CON USTEDES Y DESISTO DE SUS PRODUCTOS Y DE LA PESIMA ATENCION. MUY POCO HUMANOS PARA SER UN BANCO.;INCONFORMIDAD SERVICIO
CES-41366224;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUY LENTO EL PROCESO.PAGAMOS EL CREDITO Y LO DEMAS QUE PIDIERON Y NO HEMOS PODIDO LEVANTAR LA PRENDA, ESTAMOS TOTALMENTE INSATISFECHOS. LA COMUNICACION ENTRE DAVIVIENDA Y NOSOTROS, ES PESIMA;INCONFORMIDAD SERVICIO
01-88236834-8508;DETRACTOR;Poderes Leasing;CLASICO;NECESITO UNA CERTIFICACION DE QUE ESTOY INCLUIDO EN LA POLIZA COLECTIVA VIDA DEUDORES, PERO NUNCA LLEGO, ESO ME OBLIGA A SEGUIR PAGANDO UN SEGURO QUE NO NECESITO;ENTREGA DOCUMENTOS
CES-1019084532;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMO EL MANEJO DE LIQUIDACION PARA CANCELACION TOTAL DE TARJETA DE CREDITO. TOTALMENTE ABUSIVO CON EL CLIENTE.;OTRO
1706013186599-36;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;SIGO SIN ENTENDER POR QUE ESE PRODUCTO SIGUE ACTIVO. HE SOLICITADO QUE ESO SE MODIFIQUE MUCHAS VECES. CC 1018344177;INCONFORMIDAD SERVICIO
1-41868296088;DETRACTOR;Copia De Documentos Cartera;CLASICO;NO ME DIERON RESPUESTA A LA SOLICITUD, IGNORARON MI SOLICITUD.;INCONFORMIDAD SERVICIO
CES-52323631;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;LLEVO MAS DE 2 MESES HACIENDO LA SOLICITUD, Y ME ENVIARON COSAS QUE NO SOLICITE Y EN LA ULTIMA RESPUESTA ME DICE QUE NO ES VIABLE MI SOLICITUD, CUANDO ES UN DERECHO MIO Y UNA OBLIGACION DE USTEDES. LA PROXIMA SEMANA TENDRE QUE IR A LA SUPERINTENDENCIA, PARA QUE LOS OBLIGUEN PORQUE NO SE PUDO DE OTRA MANERA. LLEVO MUCHOS ANOS CON USTEDES, CON VARIOS PRODUCTOS, PERO VOY A CANCELAR TODO. SUS SERVICIOS SON PESIMOS, LAS TASA TERRIBLES PARA SUS CLIENTES. NO VALE LA PENA SER SU CLIENTE, SU POSTURA ES SOLO GANAR, SIN IMPORTAR SUS CLIENTES.;CLARIDAD INFORMACION
CES-41789339;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;HACE 2 SEMANAS SOLICITE UNA CARTA Y CERTIFICADO PARA PODER LEVANTAR LA HIPOTECA Y LLEVAR A CABO LA VENTA DE MI APARTAMENTO, VISITE DAVIVIENDA 4 VECES Y AYER ME DEJARON ESPERANDO 1 HORA POR LA CARTA QUE NUNCA LLEGO. RECIBI UNA CARTA QUE NO INCLUYE EL PARQUEADERO AUNQUE MANDE EL CERTIFICADO DE LIBERTAD PARA QUE LO ANADAN AL SISTEMA. TODAVIA NO HAN PUESTO EL PARQUEADERO EN EL SISTEMA Y HAN DEMORADO EL PROCESO PARA QUE A MIS COMPRADORES LES APRUEBEN EL CREDITO. LA ASESORA DE BOGOTA QUE ME DIJO QUE YA ESTABA LISTA Y QUEDO DE MANDARME LA CARTA INCLUYENDO EL APTO Y EL PARQUEADERO NUNCA LA MANDO.;ENTREGA DOCUMENTOS
POL-1032391121;DETRACTOR;Poderes Leasing Call Center;CLASICO;TODO FUE PERFECTO PERO LA ENVIADERA DE MENSAJES PARA QUE CALIFIQUE ME TIENE CANSADO;OTRO
1-42147786030;DETRACTOR;Levantamiento De Hipoteca;CLASICO;TENAZ MUY DEFICIENTE PAGUE EN FEBRERO LA HIPOTECA Y APENAS ESTOS DIAS RESOLVIERON;INCONFORMIDAD SERVICIO
1712759473287-64;DETRACTOR;Poderes Leasing;PREMIUM;SE COMPROMETIERON A ENTREGARLO EN 48 HORAS, LLEVAMOS UNA SEMANA Y NADA QUE LLEGA.;ENTREGA DOCUMENTOS
CES-52738221;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMO SERVICIO SOLICITE UN CERTIFICADO DE MI CREDITO HIPOTECARIO Y LO EMITIERON A NOMBRE DE ALEJANDRO RIVERA, FUI A OFICINA PORQUE SOY SEGUNDA TITULAR Y POR ESO NO ME LO ENTREGABAN Y AL RECIBIR LA REPUESTA FUE LO PEOR, DEJO ESTO COMO DERECHO DE PETICION NUEVAMENTE RECLAMANDO MIS DERECHOS, ME INVALIDAN Y OBSTACULIZAN TODAS MIS SOLICITUDES PERO LO QUE NO TIENEN EN CUENTA ES QUE SOY LA QUE DESDE EL ANO 2011 HE PAGADO EL CREDITO. EXIJO REPUESTA A MI CORREO CAROLINACO5@HORMAIL.COM, ANTES TENIA EL MEJOR CONCEPTO DE ESTE BANCO Y LO RECOMENDABA AHORA PIENSO QUE ES EL PEOR DE TODOS VIOLANDO MIS DERECHOS.;INCONFORMIDAD SERVICIO
CES-1020779839;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ME PARECE QUE NO TIENEN BIEN CAPACITADOS AL PERSONAL, CADA QUE UNO LLAMA LA INFORMACION QUE BRINDAN ES DIFERENTE CUANDO SIENDO LA MISMA COMPANIA DEBERIAN BRINDAR LA MISMA INFORMACION. ESO LA VERDAD COMO USUARIOS ES MUY MOLESTO PORQUE NUNCA SE TIENE CLARIDAD Y CERTEZA EN LA INFORMACION QUE ES BRINDADA POR EL CALL CENTER;CLARIDAD INFORMACION
1711120329317-64;DETRACTOR;Levantamiento De Hipoteca;CLASICO;LASTIMA YA CASI 4 MESES QUE SOLICITE LA CUENTA PARA MI PENSION Y NO PUDIERON .;OTRO
CES-72225610;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME SENTI CONFORME CON LA ASESORIA, Y LA FUNCIONARIA QUE ME ATENDIO NO ME FUE CLARA CON LA SOLICITUD, NO RECIBI OPCIONES POR PARTE DE LA ASESORA, FUE UN ROTUNDO NO, LAS DUDAS QUE TENIA RESPECTO AL PROCESO ME FUERON RESUELTAS EN OTRA ENTIDAD LO QUE ME PERMITIO OBTENER CON ELLOS EL SERVICIO;CLARIDAD INFORMACION
1-41803424159;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM;MALISIMOS NO ME LLEGAN LOS EXTRACTOS NO ME SUPO EXPLICAR NADA NI SACARME D DUDAS PUES YA HABIA HECHO DOS PAGOS EL MES D ABRIL PAGANDO LA CUOTA D MAYO Y ELLA NO ME SUPO DECIR ACERCA D ESO;CLARIDAD INFORMACION
CES-37397674;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;TENGO UNA MORA LLAME PARA PODER PAGARLO EN DOS CUOTAS ME NEGARON LA OPCION, NO CUIDAN EL CLIENTE;OTRO
CES-4136778;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NUNCA RESIBI SOLUCION A MIS PETICIONES Y RECLAMOS . Y CONSIDERO QUE EL PERSONAL QUE ME ATENDIO PARECE QUE NO ESTUVIERAN LO SUFICIENTEMENTE CAPACITADOS PARA ATENDER AL CLIENTE O NO TUVIERAN CONOCIMIENTO DEL BANCO. POR ESO ME SIENTO TOTALMENTE INCONFORME;INCONFORMIDAD SERVICIO
1-42006896870;DETRACTOR;Copia De Documentos Cartera;CLASICO;PERSONAL MUY GROSERO, HACIENDO SUPOSICIONES DE ALGO QUE NO PASA, CAPACITAR MEJOR AL PERSONAL PARA ATENCION AL CLIENTE.;OTRO
CES-1032462094;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LOS ASESORES COMPLETAMENTE PERDIDOS Y SIN DARME UNA RESPUESTA CLARA;INCONFORMIDAD SERVICIO
CES-43825406;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MALA PORQUE NO E PODIDO RESOLVER MI INQUIETUD;CLARIDAD INFORMACION
CES-41682940;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ESTOY LEVANTANDO UN LEASING, LLEVO MUCHO TIEMPO , FIRME ESCRITURA Y A LOS 15 DIAS ENVIAN CORREO Q YA PUEDO FIRMAR;CLARIDAD INFORMACION
CES-87065133;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;RECOMENDARIA TENER UNA MEJOR ATENCION CON LOS USUARIOS, YA QUE DESEABAN TENGAN EN CUENTA MI SOLICITUD DE UN DESCUENTO POR PRONTO PAGO Y NO ME COLABORARON POR ELLO PREFERI CANCELAR TODA LA DEUDA POR UNA COMPRA DE CARTERA. ADEMAS NO ME PERMITIERON REALIZAR UNA TRASFERENCIA POR LO CUAL ME MIRE EN LA NECESIDAD DE LLEVAR MI DINERO EN EFECTIVO HASTA LA ENTIDAD. QUE MAL SERVICIO BRINDAN.;OTRO
1715693706143-50;DETRACTOR;Certificaciones Especiales;CLASICO;LLAME PARA NEGOCIAR UNA DEUDA Y LA PERSONA ME HABLO MUY DESPECTIVAMENTE Y SOLO DIJO QUE PARA LLEGAR A UN ACUERDO DE PAGO DEBIA ESTAR EN CARTERA CASTIGA Y NO ME AYUDO Y SI ME HABLO EN UN TONO MUY GROSERO;OTRO
CES-52969736;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMO EN NINGUN LADO ME RESUEL VEN NI ME SOLUCIONAN NI EN EL BANCO NI EN LA PLATAFORMA NI POR TELEFONO NADIE SABE NADA NADIE RESUELVE;INCONFORMIDAD SERVICIO
CES-80390031;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NUNCA LE DAN RESPUESTA NI SOLUCIONES AL SOLICITUD QUE REQUIERE EL CLIENTE LO DEJAN UN TIEMPO EN EL TELEFONO Y LE CORTAN LA COMUNICACION;INCONFORMIDAD SERVICIO
CES-53124148;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;HE LLAMADO VARIAS VECES DESDE LA SEMANA PASADA PARA SOLICITAR UNA CERTIFICACION DONDE SE INDIQUEN LA DIRECCION DEL APARTAMENTO Y EL NUMERO DE PARQUEADERO QUE PERTENECE A MI LEASING 1726 Y CADA VEZ QUE LLAMO ME DICEN QUE YA ME LO ENVIARON PERO A MI CORREO NO HA LLEGADO NADA. NO LES INTERESA QUE LES DIGA QUE NO LO HE RECIBIDO, SOLO ME DICEN QUE LO VUELVEN A SOLICITAR....DE HECHO LA PRIMERA VEZ QUE LO PEDI, ENVIARON UN CERTIFICADO SOLO CON EL NUMERO DE CREDITO DICIENDO QUE ES CREDITO HIPOTECARIO CUANDO ES LEASING, ESO LO PUEDO DESCARGAR YO POR LA PAGINA.;ENTREGA DOCUMENTOS
1715178039795-53;DETRACTOR;Certificaciones Especiales;CLASICO;PEDI UN PAZ Y SALVO Y PEDI UN CERTIFICADO SOPORTE CON FECHA DE RESTRUCTURACION DE UN CREDITO QUE TUVE. NUNCA ME LLEGO ESTE ULTIMO Y ES LO QUE MAS NECESITO URGENTE. AYUDA CON ESO POR FAVOR CC 1053784994 CEL 3007838377 COTREO PAULIG0412@GMAIL.COM;ENTREGA DOCUMENTOS
CES-32859120;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ESTOY SATISFECHA POR QUE PRIMERO CUANDO SOLICITE EL PAZ Y SALVO FUE CAOTICO QUE ME TOCO IR HASTA LA OFIS Y TAMPOCO ME LO ENTREGARON ENTONCES ME TOCO RECURRIR AL CHAT NUEVAMENTE Y SOLO ASI ME LO DIERON CON LA OTRA SITUACION NO ME PUDIERON AYUDAR ES SOBRE QUE RECIBIR DE USTEDES UN MENSAJE DE TEXTO INDICANDO QUE TENGO UN SALDO A FAVOR DE UN CREDITO QUE TENIA CON USTEDES Y NADIE ME VERIFICO SI ES VERDAD O NO;CLARIDAD INFORMACION
CES-34066200;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ALCANCE A CONTESTAR... NO FUE POSIBLE LA COMUNICACION. SERA POSIBLE QUE ME VUELVAN A LLAMAR GRACIAS;SIN COMENTARIO
1-43243244983;DETRACTOR;Levantamiento Prenda Vehiculo;PREMIUM PLUS;MUCHISIMA DEMORA ADEMAS ME HABIAN ENVIADO LA SOLICITUD A OTRO CORREO;DEMORA TRAMITE
CES-52998436;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ME HE ACERCADO DOS VECES A UNA OFICINA FISICA PARA SOLICITAR EL LEVANTAMIENTO DE PRENDA DEL VEHICULO CON EL CUAL TENIA UN CREDITO CON DAVIVIENDA. ME INDICAN QUE VAN A ENVIAR UN LINK A MI CORREO, EL CUAL NUNCA LLEGO POSTERIOR A ESO, TRATO INGRESAR A LA PLATAFORMA O COMUNICARME POR TELEFONO, PERO MI CUENTA Y MI USUARIO YA SE ENCUENTRAN BLOQUEADOS Y NO ME PERMITEN ACCESO. LOGRO COMUNICARME CON UN ASESOR POR MEDIO DE LA CUENTA DE MI ESPOSO Y ME INDICA QUE EN 48 HORAS ME VAN A ENVIAR UN LINK PARA REALIZAR UN TRAMITE Y UN PAGO PARA EL LEVANTAMIENTO DE LA PRENDA Y TAMPOCO ES CIERTO. CADA PERSONA ME DA UNA INFORMACION DIFERENTE TANTO EN LAS OFICINAS, COMO VIA TELEFONICA, NO SON CLAROS EN LA INFORMACION, TAMPOCO SOBRE EL PROCESO QUE SE DEBE HACER, NI LOS TIEMPOS QUE VA A TOMAR ESTO. EL CARRO YA FUE VENDIDO Y NECESITO CON PRIORIDAD HACER EL TRASPASO, MIENTRAS MAS TIEMPO SE DEMORE DAVIVIENDA EN ENTREGARME LA CARTA DE LEVANTAMIENTO MAS SE VA A DEMORAR EL PROCESO.;CLARIDAD INFORMACION
1716222667880-88;DETRACTOR;Certificaciones Especiales;CLASICO;EL CERTIFICADO QUE ME ENVIARON NO FUE EL SOLICITADO;CLARIDAD INFORMACION
CES-51985251;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO RECIBI EL CERTIFICADO EN LOS TIEMPOS PROMETIDOS, EN NINGUNA DE LAS 3 OPORTUNIDADES EN QUE ME COMUNIQUE CON USTEDES.;ENTREGA DOCUMENTOS
POL-32640589;DETRACTOR;Poderes Leasing Call Center;PREMIUM;NO DAN PRONTA SOLUCION, TODAVIA ESTOY EN ESPERA....LUCHANDO POR MI PROPIEDAD POR SU CONSERVACION Y DURACION....COSA QUE DAVIVIENDA NO RECONOCE.....LA LEY NO ES SUB OBJETIVA SI NO OBJETIVA ...EL ECHO DE HABER ADQUIRIDO UN CREDITO POR LEASING...NO SIGNIFICA ,QUE HAYA PERDIDO TOTALMENTE MIS DERECHO COMO PROPIETARIA ..YA QUE PAGO LA ADMINISTRACION,LA CUOTA MENSUAL DE MI CREDITO, LOS IMPUESTOS...LA CUOTA EXTRAORDINARIA PARA EL MANTENIMIENTO DEL EDIFICIO....ENTONCES..NO TENGO DERECHO ASISTIR A LA ASAMBLEA ...SI NO ASISTO ME COBRAN MULTA...NO PUEDO PERTENECER AL CONSEJO DE ADM.DEL EDIFICIO..... SOLICITO MUY RESPETUOSAMENTE ME ENVIE LA AUTORIZACION PARA ASISTIR A LA ASAMBLEA Y PUEDA PERTENECER AL CONSEJO DE ADM.CUANDO LO CREA CONVENIENTE...POR EL BIEN PROPIO Y EL DE USTEDES ...HE DICHO;ENTREGA DOCUMENTOS
1715181495324-42;DETRACTOR;Certificaciones Especiales;CLASICO;.2 MESES PARA TENER EL CERTIFICADO QUE SE DEMORABA 24 HORAS;DEMORA TRAMITE
1-43539846765;DETRACTOR;Copia De Documentos Cartera;PREMIUM;EL SEGUIMIENTO DEL LEASING DEBE DE SER EN LOS TIEMPOS ESTIPULADOS NO SEMANAS DESPUES;DEMORA TRAMITE
1-44029653940;DETRACTOR;Poderes Leasing;PREMIUM;AUN NO ME HAN LLEGADO,NO ME HAN ENVIADO NADA CON EL BANCO ME HA IDO BIEN PERO CON ESTE PROCESO CERO;ENTREGA DOCUMENTOS
1-44015091402;DETRACTOR;Copia De Documentos Cartera;PREMIUM;.QUE NO SE SI EL BANCO ESTABA CONFABULADO PARTA QUE NO ME DIERAN ESE PAPEL POR QUE ME LO ENVIARON Y NO ME LO DEJABA ABRIR;ENTREGA DOCUMENTOS
CES-3215983;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;HE SOLICITADO UN CERTIFICADO DE PAZ Y SALVO EN DOS OCASIONES POR EL CHAT Y SIEMPRE ME INDICAN QUE LO ENVIAN AL CORREO PERO NO LLEGA Y EL ASESOR CIERRA EL CHAT MIENTRAS UNO BUSCA LA INFORMACION;ENTREGA DOCUMENTOS
1-44046229172;DETRACTOR;Copia De Documentos Cartera;PREMIUM;PEDI QUE ME MANDARA LOS EXTRACTOS DEL LEASING, Y CARATULAS DE POLIZAS, NO HE RECIBO RESPUESTAS.;ENTREGA DOCUMENTOS
1-43483145219;DETRACTOR;Copia De Documentos Cartera;PREMIUM;HICE LA SOLICITUD Y NO OBTUVE RESPUESTA;ENTREGA DOCUMENTOS
CES-52886473;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EL ASESOR FUE AMABLE, PERO LA CERTIFICACION NUNCA LLEGO;ENTREGA DOCUMENTOS
1-42060252241;DETRACTOR;Levantamiento De Hipoteca;CLASICO;ME GUSTARIA SABER EN QUE VA EL PROCESO;CLARIDAD INFORMACION
1715180366488-97;DETRACTOR;Certificaciones Especiales;CLASICO;NINGUNO POR EL MOMENTO;SIN COMENTARIO
